time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss
60,854.0,34,70.3271015,2048,1,,,,,,,,,,
60,842.75,68,71.8049715,4096,2,0.0003,0.43460296243429186,0.014446258,0.2,-0.018581032752990723,-2.866846391558647,0.07529296875,-0.009119020559592173,10,0.16479770839214325
60,846.5714285714286,101,73.74397771428572,6144,3,0.0003,0.4483841940760612,0.010839544,0.2,0.10074394941329956,-2.845620948076248,0.066943359375,-0.0068672477325890215,20,0.18037408590316772
60,845.2222222222222,134,73.82929433333334,8192,4,0.0003,0.4480582155287266,0.008276586,0.2,0.08843368291854858,-2.8400565087795258,0.043212890625,-0.004146532446611673,30,0.21549546718597412
60,848.75,167,74.3076055,10240,5,0.0003,0.4773966606706381,0.013310266,0.2,0.08872264623641968,-2.8302823454141617,0.110400390625,-0.011403042450547218,40,0.20809432864189148
60,851.5,204,74.92580428571429,12288,6,0.0003,0.5232818081974984,0.013733135,0.2,0.13047808408737183,-2.8074488073587416,0.08779296875,-0.009202654415275902,50,0.23571644723415375
60,853.75,236,75.6943430625,14336,7,0.0003,0.5096854466944933,0.014807401,0.2,0.07363706827163696,-2.7915745049715044,0.095458984375,-0.00737276048748754,60,0.23823213577270508
60,856.3157894736842,268,76.70179336842105,16384,8,0.0003,0.5698446668684483,0.013483825,0.2,0.09468287229537964,-2.771332731842995,0.106494140625,-0.009087062970502302,70,0.31117570400238037
61,857.4761904761905,300,77.46412414285713,18432,9,0.0003,0.7162142135202885,0.011919687,0.2,0.09238207340240479,-2.754564180970192,0.112060546875,-0.010509785660542548,80,0.30879801511764526
61,859.6086956521739,333,78.67228139130434,20480,10,0.0003,0.6333194091916085,0.013619937,0.2,0.1463804841041565,-2.7270357102155685,0.106884765625,-0.009529180714162066,90,0.3831157684326172
