success_count,acceptance_rate,total_cost,total_revenue,total_time_cost,total_time_revenue,rc_ratio,time_rc_ratio,min_pn_available_resource,min_pn_node_available_resource,min_pn_edge_available_resource,max_inservice_count,cumulative_reward,player,pn_config,vns_config,host_name,run_time
125,0.625,32055,15138,9058777.452918198,4317966.0746253,0.47225081890500703,0.4766610171259157,1647,892,736,66,0,random_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183817
132,0.66,32315,16049,9667809.53172839,4853743.092032927,0.4966424261179019,0.5020519980357107,1800,936,815,68,0,random_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183818
129,0.645,32454,16207,8985213.623167733,4482040.640875694,0.49938374314414247,0.49882404902639954,1793,895,898,63,0,random_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183819
137,0.685,33117,16550,9518211.37705007,4786665.892546938,0.49974333423921247,0.502895523426634,1859,895,832,67,0,random_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183821
137,0.685,33424,17020,8958794.96593232,4543446.8307895055,0.5092149353757779,0.5071493262282378,1723,925,731,68,0,random_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183822
136,0.68,33544,16882,8069966.137735108,4158910.7203117004,0.503279274982113,0.5153566507379332,1782,952,830,72,0,random_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183824
124,0.62,29976,15046,10190648.945411498,4826322.257271362,0.501934881238324,0.47360303383274627,1928,943,895,61,0,random_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183825
132,0.66,31352,15840,9646737.131982135,4810202.35698047,0.5052309262566982,0.49863516452967843,1724,869,797,64,0,random_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183826
134,0.67,32489,16085,9182788.05737891,4618983.58027068,0.49509064606482195,0.5030044852836448,1805,902,859,71,0,random_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183827
138,0.69,34080,16897,9038317.766422326,4607575.11194413,0.49580399061032865,0.5097823766565761,1725,941,758,71,0,random_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183829
