vn_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,vn_id,node_slots,edge_paths,vn_cost,vn_revenue,vn_rc_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,result,description,place_result,route_result,early_rejection
1,1,1,433,844,268058.71921441465,522497.8268290207,6,0,1,45064,7201,37863,0,"{0: 47, 1: 0, 2: 48, 3: 70, 4: 24, 5: 16}","{(3, 0): [70, 44, 47], (4, 1): [24, 21, 83, 0], (4, 3): [24, 78, 70], (5, 1): [16, 52, 11, 0], (5, 2): [16, 29, 27, 48], (5, 3): [16, 29, 28, 70], (5, 4): [16, 35, 26, 21, 24]}",844,433,0.5130331753554502,522497.8268290207,268058.71921441465,317.605117552624,True,,True,True,False
2,2,2,791,1495,280434.19074507285,545001.8267353293,11,1,1,44413,7049,37364,1,"{0: 78, 1: 2, 2: 76, 3: 1, 4: 96}","{(1, 0): [2, 61, 78], (2, 0): [76, 56, 78], (3, 0): [1, 21, 24, 78], (3, 2): [1, 60, 76], (4, 1): [96, 33, 47, 2], (4, 3): [96, 0, 83, 1]}",651,358,0.5499231950844854,22503.999906308658,12375.471530658217,19.009940907309087,True,,True,True,False
3,3,3,1060,1917,493587.41009608295,879390.892036914,15,2,1,43991,6933,37058,2,"{0: 7, 1: 75, 2: 34, 3: 19}","{(1, 0): [75, 21, 7], (2, 1): [34, 52, 75], (3, 0): [19, 54, 7], (3, 2): [19, 97, 34]}",422,269,0.6374407582938388,334389.06530158466,213153.21935101014,505.10241552372065,True,,True,True,False
4,4,4,1155,2090,544136.6006213048,971443.6284670548,17,3,1,43818,6877,36941,3,"{0: 54, 1: 41}","{(1, 0): [41, 9, 86, 54]}",173,95,0.5491329479768786,92052.73643014085,50549.19052522186,292.1918527469471,True,,True,True,False
4,4,3,1155,2090,544136.6006213048,971443.6284670548,17,4,0,44469,7029,37440,1,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
5,5,4,1337,2394,587390.476637404,1043691.8609335062,20,5,1,44165,6908,37257,4,"{0: 28, 1: 45, 2: 99}","{(1, 0): [45, 5, 70, 28], (2, 0): [99, 1, 29, 28]}",304,182,0.5986842105263158,72248.2324664513,43253.87601609914,142.28248689506296,True,,True,True,False
6,6,5,1830,3227,890388.7973301937,1555654.5407247718,24,6,1,43332,6693,36639,5,"{0: 47, 1: 92, 2: 48, 3: 91, 4: 23, 5: 77}","{(2, 0): [48, 27, 47], (2, 1): [48, 5, 14, 92], (4, 0): [23, 2, 47], (4, 2): [23, 24, 48], (4, 3): [23, 56, 91], (5, 0): [77, 30, 47], (5, 2): [77, 8, 5, 48], (5, 3): [77, 76, 91]}",833,493,0.5918367346938775,511962.6797912656,302998.3206927898,363.7434822242375,True,,True,True,False
7,7,6,2498,4268,1021737.6718609412,1760346.4245369097,30,7,1,42291,6435,35856,6,"{0: 43, 1: 84, 2: 76, 3: 50, 4: 5, 5: 49, 6: 87}","{(1, 0): [84, 73, 43], (2, 0): [76, 56, 43], (3, 1): [50, 63, 84], (4, 0): [5, 62, 43], (4, 1): [5, 21, 84], (4, 3): [5, 18, 50], (5, 2): [49, 60, 76], (5, 3): [49, 75, 50], (6, 0): [87, 43], (6, 3): [87, 50], (6, 4): [87, 19, 26, 5], (6, 5): [87, 46, 49]}",1041,668,0.6416906820365034,204691.88381213794,131348.8745307475,126.17567197958454,True,,True,True,False
8,8,7,3176,5560,1068852.67558737,1850128.9980096915,38,8,1,40999,6191,34808,7,"{0: 46, 1: 1, 2: 52, 3: 59, 4: 86, 5: 6, 6: 40, 7: 94, 8: 69}","{(3, 0): [59, 8, 46], (4, 0): [86, 77, 46], (4, 1): [86, 61, 1], (4, 2): [86, 33, 52], (5, 0): [6, 12, 26, 46], (6, 0): [40, 39, 26, 46], (6, 3): [40, 39, 61, 59], (6, 4): [40, 58, 62, 86], (6, 5): [40, 70, 42, 6], (7, 2): [94, 16, 52], (7, 3): [94, 1, 61, 59], (8, 0): [69, 46], (8, 1): [69, 83, 1], (8, 6): [69, 52, 58, 40]}",1292,678,0.5247678018575851,89782.5734727818,47115.00372642884,36.46672115048672,True,,True,True,False
9,8,7,3176,5560,1068852.67558737,1850128.9980096915,38,9,1,40999,6191,34808,8,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
10,9,8,3413,5947,1181332.543546988,2033798.6558171688,40,10,1,40612,6064,34548,9,"{0: 81, 1: 96, 2: 12, 3: 34}","{(2, 0): [12, 5, 18, 81], (2, 1): [12, 26, 96], (3, 0): [34, 52, 81]}",387,237,0.6124031007751938,183669.65780747728,112479.86795961787,290.64565364242344,True,,True,True,False
11,10,9,3721,6513,1319264.696239417,2287271.3779727365,43,11,1,40046,5906,34140,10,"{0: 15, 1: 0, 2: 10, 3: 3}","{(1, 0): [0, 11, 15], (2, 1): [10, 19, 73, 0], (3, 0): [3, 47, 88, 15], (3, 2): [3, 53, 31, 10]}",566,308,0.5441696113074205,253472.72215556787,137932.15269242914,243.69638284881475,True,,True,True,False
11,10,8,3721,6513,1319264.696239417,2287271.3779727365,43,12,0,41338,6150,35188,7,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
12,11,9,3807,6675,1341665.662417395,2329468.5468196254,45,13,1,41176,6102,35074,11,"{0: 14, 1: 9}","{(1, 0): [9, 31, 21, 14]}",162,86,0.5308641975308642,42197.16884688887,22400.96617797804,138.27756899986446,True,,True,True,False
12,11,8,3807,6675,1341665.662417395,2329468.5468196254,45,14,0,42217,6360,35857,6,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
12,11,8,3807,6675,1341665.662417395,2329468.5468196254,45,15,0,42521,6481,36040,4,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
12,11,7,3807,6675,1341665.662417395,2329468.5468196254,45,16,0,42521,6481,36040,8,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
13,12,8,4142,7146,1458151.298280882,2493243.8736605276,49,17,1,42050,6282,35768,12,"{0: 67, 1: 1, 2: 56, 3: 26, 4: 22}","{(3, 1): [26, 29, 1], (3, 2): [26, 33, 56], (4, 0): [22, 14, 67], (4, 1): [22, 83, 1]}",471,335,0.7112526539278131,163775.3268409024,116485.63586348682,247.315575081713,True,,True,True,False
14,13,9,4368,7449,1483074.7903805398,2526658.998024228,52,18,1,41747,6167,35580,13,"{0: 13, 1: 89, 2: 96, 3: 33}","{(2, 1): [96, 19, 89], (3, 0): [33, 99, 13], (3, 2): [33, 96]}",303,226,0.7458745874587459,33415.12436370057,24923.49209965785,82.25574950382129,True,,True,True,False
15,14,10,5088,8988,1674946.2279007104,2936784.1957235923,55,19,1,40208,5913,34295,14,"{0: 77, 1: 41, 2: 51, 3: 72, 4: 30, 5: 22, 6: 47, 7: 2}","{(3, 1): [72, 8, 23, 41], (4, 2): [30, 23, 51], (5, 0): [22, 14, 77], (5, 2): [22, 34, 23, 51], (5, 4): [22, 72, 30], (6, 0): [47, 2, 76, 77], (6, 1): [47, 33, 90, 41], (6, 2): [47, 51], (6, 4): [47, 44, 30], (7, 0): [2, 9, 32, 77], (7, 1): [2, 34, 12, 32, 41], (7, 2): [2, 61, 1, 95, 51], (7, 5): [2, 61, 74, 22], (7, 6): [2, 76, 88, 47]}",1539,720,0.4678362573099415,410125.1976993644,191871.43752017047,124.67279890849282,True,,True,True,False
16,15,11,5245,9206,1780874.4297006829,3083869.214783427,57,20,1,39990,5817,34173,15,"{0: 21, 1: 86, 2: 55}","{(1, 0): [86, 7, 21], (2, 1): [55, 7, 86]}",218,157,0.7201834862385321,147085.0190598344,105928.20179997246,485.90918256868105,True,,True,True,False
16,15,10,5245,9206,1780874.4297006829,3083869.214783427,57,21,0,40293,5932,34361,13,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
17,16,11,5641,9787,1893116.5252698348,3248547.6428785715,60,22,1,39712,5721,33991,16,"{0: 27, 1: 59, 2: 78, 3: 38, 4: 88}","{(1, 0): [59, 74, 27], (2, 0): [78, 56, 27], (3, 1): [38, 61, 59], (4, 1): [88, 19, 59], (4, 2): [88, 70, 78], (4, 3): [88, 57, 38]}",581,396,0.6815834767641996,164678.42809514457,112242.09556915189,193.18777206394472,True,,True,True,False
17,16,10,5641,9787,1893116.5252698348,3248547.6428785715,60,23,0,39874,5769,34105,11,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
17,16,9,5641,9787,1893116.5252698348,3248547.6428785715,60,24,0,40047,5825,34222,3,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
18,17,10,5800,10042,2017206.8618702102,3447560.4468603055,61,25,1,39792,5734,34058,17,"{0: 54, 1: 76, 2: 65}","{(1, 0): [76, 7, 54], (2, 0): [65, 75, 21, 54]}",255,159,0.6235294117647059,199012.8039817339,124090.33660037525,486.6287709818637,True,,True,True,False
19,18,11,5970,10297,2067170.6975623511,3522506.200398517,61,26,1,39537,5623,33914,18,"{0: 96, 1: 7, 2: 38}","{(1, 0): [7, 14, 96], (2, 0): [38, 12, 26, 96]}",255,170,0.6666666666666666,74945.75353821136,49963.8356921409,195.9366105574153,True,,True,True,False
19,18,10,5970,10297,2067170.6975623511,3522506.200398517,61,27,0,40381,5828,34553,0,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
19,18,10,5970,10297,2067170.6975623511,3522506.200398517,61,28,0,41920,6082,35838,14,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
19,18,9,5970,10297,2067170.6975623511,3522506.200398517,61,29,0,42486,6240,36246,10,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
19,18,8,5970,10297,2067170.6975623511,3522506.200398517,61,30,0,43319,6455,36864,5,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
20,19,9,6220,10664,2105817.0643247394,3579239.066805703,61,31,1,42952,6298,36654,19,"{0: 19, 1: 51, 2: 15, 3: 28}","{(2, 0): [15, 19], (2, 1): [15, 27, 47, 51], (3, 0): [28, 29, 26, 19], (3, 1): [28, 53, 51]}",367,250,0.6811989100817438,56732.86640718628,38646.366762388476,105.30345166863344,True,,True,True,False
20,19,9,6220,10664,2105817.0643247394,3579239.066805703,61,32,0,43423,6497,36926,12,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
20,19,9,6220,10664,2105817.0643247394,3579239.066805703,61,33,0,43810,6624,37186,9,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
21,20,10,7197,12545,2193052.168872883,3747191.197465947,66,34,1,41929,6277,35652,20,"{0: 51, 1: 34, 2: 42, 3: 66, 4: 4, 5: 60, 6: 92, 7: 26, 8: 73}","{(1, 0): [34, 23, 51], (2, 0): [42, 66, 51], (2, 1): [42, 6, 34], (3, 2): [66, 12, 6, 42], (4, 0): [4, 47, 51], (4, 2): [4, 84, 42], (4, 3): [4, 47, 30, 66], (5, 1): [60, 52, 34], (5, 2): [60, 52, 42], (5, 4): [60, 1, 99, 4], (6, 0): [92, 14, 21, 44, 51], (6, 1): [92, 37, 27, 34], (6, 4): [92, 16, 52, 99, 4], (7, 0): [26, 95, 51], (8, 1): [73, 84, 34], (8, 2): [73, 42], (8, 4): [73, 84, 4], (8, 5): [73, 43, 60], (8, 6): [73, 33, 39, 92]}",1881,977,0.519404572036151,167952.13066024368,87235.10454814357,46.376982747551075,True,,True,True,False
22,21,11,7292,12660,2201448.327500971,3757354.96843679,67,35,1,41814,6202,35612,21,"{0: 90, 1: 19}","{(1, 0): [19, 87, 90]}",115,95,0.8260869565217391,10163.770970843269,8396.158628087918,73.01007502685147,True,,True,True,False
22,21,11,7292,12660,2201448.327500971,3757354.96843679,67,36,0,42395,6413,35982,16,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
23,22,12,7799,13568,2265590.580938401,3872229.063350373,69,37,1,41487,6182,35305,22,"{0: 7, 1: 73, 2: 50, 3: 29, 4: 25, 5: 41, 6: 77}","{(1, 0): [73, 38, 57, 7], (3, 0): [29, 1, 21, 7], (3, 1): [29, 36, 73], (4, 2): [25, 75, 50], (5, 0): [41, 9, 76, 7], (5, 1): [41, 9, 36, 73], (6, 3): [77, 27, 29], (6, 4): [77, 27, 79, 25], (6, 5): [77, 32, 41]}",908,507,0.5583700440528634,114874.0949135826,64142.253437429936,70.64124827910786,True,,True,True,False
23,22,11,7799,13568,2265590.580938401,3872229.063350373,69,38,0,41909,6298,35611,2,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
24,23,12,8341,14462,2480729.1710033445,4227088.656557124,70,39,1,41015,6045,34970,23,"{0: 78, 1: 72, 2: 38, 3: 98, 4: 41, 5: 19}","{(1, 0): [72, 78], (2, 0): [38, 61, 78], (3, 1): [98, 83, 72], (4, 1): [41, 23, 8, 72], (4, 3): [41, 81, 98], (5, 1): [19, 10, 31, 72], (5, 3): [19, 97, 98]}",894,542,0.6062639821029083,354859.5932067514,215138.59006494324,240.6471924663795,True,,True,True,False
25,24,13,8736,15216,2554016.1179324533,4366983.233733195,74,40,1,40261,5866,34395,24,"{0: 97, 1: 79, 2: 80, 3: 72, 4: 63}","{(1, 0): [79, 17, 97], (2, 1): [80, 65, 53, 79], (3, 0): [72, 8, 59, 97], (3, 2): [72, 33, 39, 80], (4, 1): [63, 32, 79], (4, 3): [63, 14, 22, 72]}",754,395,0.5238726790450928,139894.57717607086,73286.94692910874,97.19754234629806,True,,True,True,False
25,24,12,8736,15216,2554016.1179324533,4366983.233733195,74,41,0,42142,6213,35929,20,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
25,24,12,8736,15216,2554016.1179324533,4366983.233733195,74,42,0,42257,6288,35969,21,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
25,24,11,8736,15216,2554016.1179324533,4366983.233733195,74,43,0,42624,6445,36179,19,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
25,24,10,8736,15216,2554016.1179324533,4366983.233733195,74,44,0,42879,6556,36323,18,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
25,24,9,8736,15216,2554016.1179324533,4366983.233733195,74,45,0,43787,6787,37000,22,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
