vn_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,vn_id,node_slots,edge_paths,vn_cost,vn_revenue,vn_rc_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,result,description,place_result,route_result,early_rejection
1,1,1,650,1110,24605.1679504993,42018.056038544964,9,0,1,42715,7028,35687,0,"{0: 48, 1: 64, 2: 55, 3: 62, 4: 71, 5: 76, 6: 9, 7: 20, 8: 42}","{(3, 0): [62, 21, 48], (3, 1): [62, 13, 2, 64], (3, 2): [62, 27, 55], (4, 3): [71, 91, 62], (6, 1): [9, 8, 14, 64], (6, 2): [9, 38, 55], (6, 3): [9, 95, 62], (6, 5): [9, 8, 10, 76], (7, 1): [20, 64], (7, 4): [20, 14, 81, 71], (8, 4): [42, 17, 71]}",1110,650,0.5855855855855856,42018.056038544964,24605.1679504993,22.166817973422795,True,Success,True,True,False
2,2,2,1288,2365,427904.5703095066,835342.1155378462,15,1,1,41460,6793,34667,1,"{0: 43, 1: 91, 2: 29, 3: 58, 4: 60, 5: 78}","{(2, 0): [29, 11, 59, 43], (2, 1): [29, 11, 91], (3, 0): [58, 22, 13, 43], (3, 1): [58, 53, 91], (3, 2): [58, 29], (4, 0): [60, 13, 35, 43], (4, 1): [60, 32, 16, 91], (4, 3): [60, 29, 58], (5, 0): [78, 12, 52, 4, 43], (5, 2): [78, 18, 14, 29], (5, 3): [78, 96, 58], (5, 4): [78, 60]}",1255,638,0.5083665338645418,793324.0594993012,403299.40235900733,321.35410546534445,True,Success,True,True,False
3,3,3,1894,3584,896711.983570326,1778372.2092093625,22,2,1,40241,6552,33689,2,"{0: 85, 1: 87, 2: 93, 3: 7, 4: 40, 5: 69, 6: 2}","{(1, 0): [87, 12, 85], (2, 0): [93, 4, 52, 85], (4, 1): [40, 72, 87], (4, 2): [40, 11, 31, 25, 93], (5, 0): [69, 0, 85], (5, 1): [69, 32, 87], (5, 4): [69, 32, 23, 40], (6, 0): [2, 13, 85], (6, 3): [2, 68, 5, 7], (6, 4): [2, 75, 23, 40], (6, 5): [2, 89, 19, 69]}",1219,606,0.4971287940935193,943030.0936715163,468807.4132608194,384.58360398754667,True,Success,True,True,False
4,4,4,2767,5286,2574057.242703706,5048522.989329653,30,3,1,38539,6319,32220,3,"{0: 54, 1: 98, 2: 15, 3: 30, 4: 33, 5: 70, 6: 26, 7: 46}","{(2, 0): [15, 80, 54], (3, 0): [30, 21, 54], (3, 1): [30, 42, 98], (3, 2): [30, 33, 15], (4, 2): [33, 15], (4, 3): [33, 30], (5, 3): [70, 3, 94, 30], (5, 4): [70, 28, 33], (6, 0): [26, 86, 91, 54], (6, 1): [26, 86, 98], (6, 2): [26, 19, 15], (6, 3): [26, 51, 30], (6, 4): [26, 51, 63, 33], (6, 5): [26, 36, 70], (7, 0): [46, 17, 4, 54], (7, 4): [46, 84, 48, 33], (7, 6): [46, 37, 3, 19, 26]}",1702,873,0.5129259694477086,3270150.78012029,1677345.2591333801,985.5142533098592,True,Success,True,True,False
4,4,3,2767,5286,2574057.242703706,5048522.989329653,30,4,0,39649,6616,33033,0,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
5,5,4,3706,6977,2994904.915762471,5806407.350503638,30,5,1,37958,6288,31670,4,"{0: 48, 1: 64, 2: 55, 3: 62, 4: 71, 5: 76, 6: 9, 7: 20, 8: 42}","{(1, 0): [64, 20, 48], (2, 1): [55, 64], (3, 0): [62, 21, 48], (3, 1): [62, 13, 2, 64], (4, 2): [71, 55], (5, 4): [76, 50, 75, 71], (6, 1): [9, 8, 14, 64], (6, 5): [9, 8, 10, 76], (7, 0): [20, 48], (7, 3): [20, 91, 62], (7, 4): [20, 91, 71], (7, 6): [20, 14, 18, 12, 9], (8, 0): [42, 7, 48], (8, 1): [42, 30, 64], (8, 2): [42, 98, 55], (8, 4): [42, 17, 71], (8, 5): [42, 79, 76]}",1691,939,0.5552927261975162,757884.3611739851,420847.6730587652,248.8750284203224,True,Success,True,True,False
6,6,5,3908,7297,3144657.9301124895,6043639.848483865,33,6,1,37638,6204,31434,5,"{0: 66, 1: 77, 2: 95}","{(1, 0): [77, 72, 66], (2, 0): [95, 7, 66], (2, 1): [95, 33, 77]}",320,202,0.63125,237232.49798022694,149753.01435001826,467.97816984380705,True,Success,True,True,False
7,7,6,4434,8200,3200445.8067738432,6139412.572105923,41,7,1,36735,5939,30796,6,"{0: 13, 1: 18, 2: 28, 3: 82, 4: 89, 5: 92, 6: 45, 7: 47}","{(2, 0): [28, 33, 87, 13], (3, 0): [82, 15, 13], (4, 2): [89, 88, 28], (5, 1): [92, 44, 32, 18], (6, 1): [45, 5, 84, 18], (6, 4): [45, 19, 89], (6, 5): [45, 5, 15, 92], (7, 4): [47, 88, 89], (7, 5): [47, 92]}",903,526,0.5825027685492802,95772.72362205794,55787.87666135379,61.780594309361895,True,Success,True,True,False
8,8,7,4740,8781,3235131.6036754563,6205270.245308005,45,8,1,36154,5782,30372,7,"{0: 50, 1: 90, 2: 14, 3: 17}","{(1, 0): [90, 27, 35, 50], (2, 0): [14, 20, 64, 50], (2, 1): [14, 81, 90], (3, 0): [17, 35, 13, 50], (3, 2): [17, 71, 81, 14]}",581,306,0.5266781411359724,65857.67320208254,34685.79690161318,59.70016678418792,True,Success,True,True,False
9,9,8,4991,9274,3312459.1906050416,6357152.716846992,49,9,1,35661,5652,30009,8,"{0: 39, 1: 67, 2: 80, 3: 8}","{(1, 0): [67, 28, 22, 39], (2, 0): [80, 15, 16, 39], (3, 0): [8, 41, 0, 39]}",493,251,0.5091277890466531,151882.47153898678,77327.58692958555,156.8510891066644,True,Success,True,True,False
