vn_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,vn_id,node_slots,edge_paths,vn_cost,vn_revenue,vn_rc_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,result,info,place_result,route_result,early_rejection
1,0,0,0,0,0.0,0.0,0,0,1,41155,7628,33527,0,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
2,0,0,0,0,0.0,0.0,0,1,1,41155,7628,33527,1,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
3,0,0,0,0,0.0,0.0,0,2,1,41155,7628,33527,2,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
4,0,0,0,0,0.0,0.0,0,3,1,41155,7628,33527,3,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
5,0,0,0,0,0.0,0.0,0,4,1,41155,7628,33527,4,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
5,0,0,0,0,0.0,0.0,0,5,0,41155,7628,33527,3,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
5,0,0,0,0,0.0,0.0,0,6,0,41155,7628,33527,2,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
6,0,0,0,0,0.0,0.0,0,7,1,41155,7628,33527,5,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
6,0,0,0,0,0.0,0.0,0,8,0,41155,7628,33527,5,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
7,0,0,0,0,0.0,0.0,0,9,1,41155,7628,33527,6,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
7,0,0,0,0,0.0,0.0,0,10,0,41155,7628,33527,4,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
8,0,0,0,0,0.0,0.0,0,11,1,41155,7628,33527,7,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
9,0,0,0,0,0.0,0.0,0,12,1,41155,7628,33527,8,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
9,0,0,0,0,0.0,0.0,0,13,0,41155,7628,33527,0,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
10,0,0,0,0,0.0,0.0,0,14,1,41155,7628,33527,9,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
11,0,0,0,0,0.0,0.0,0,15,1,41155,7628,33527,10,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
12,0,0,0,0,0.0,0.0,0,16,1,41155,7628,33527,11,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
13,0,0,0,0,0.0,0.0,0,17,1,41155,7628,33527,12,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
13,0,0,0,0,0.0,0.0,0,18,0,41155,7628,33527,7,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
13,0,0,0,0,0.0,0.0,0,19,0,41155,7628,33527,8,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
14,1,1,547,637,289291.7473049823,336890.0238268258,7,20,1,40518,7384,33134,13,"{1: 11, 5: 17, 3: 18, 0: 0, 6: 57, 2: 19, 4: 8}","{(0, 1): [0, 11], (0, 3): [0, 11, 18], (0, 6): [0, 57], (1, 2): [11, 19], (1, 3): [11, 18], (1, 5): [11, 17], (1, 6): [11, 57], (3, 5): [18, 17], (4, 5): [8, 18, 17], (5, 6): [17, 11, 57]}",637,547,0.858712715855573,336890.0238268258,289291.7473049823,454.14717002352006,True,Success,True,True,False
14,1,1,547,637,289291.7473049823,336890.0238268258,7,21,0,40518,7384,33134,11,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
15,1,1,547,637,289291.7473049823,336890.0238268258,7,22,1,40518,7384,33134,14,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
16,1,1,547,637,289291.7473049823,336890.0238268258,7,23,1,40518,7384,33134,15,{},{},0,0,0.0,0.0,0.0,0.0,False,Place Failure,False,True,False
16,1,1,547,637,289291.7473049823,336890.0238268258,7,24,0,40518,7384,33134,6,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
16,1,1,547,637,289291.7473049823,336890.0238268258,7,25,0,40518,7384,33134,9,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
17,1,1,547,637,289291.7473049823,336890.0238268258,7,26,1,40518,7384,33134,16,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
18,1,1,547,637,289291.7473049823,336890.0238268258,7,27,1,40518,7384,33134,17,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
19,1,1,547,637,289291.7473049823,336890.0238268258,7,28,1,40518,7384,33134,18,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
20,1,1,547,637,289291.7473049823,336890.0238268258,7,29,1,40518,7384,33134,19,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
20,1,1,547,637,289291.7473049823,336890.0238268258,7,30,0,40518,7384,33134,17,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
21,1,1,547,637,289291.7473049823,336890.0238268258,7,31,1,40518,7384,33134,20,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
21,1,0,547,637,289291.7473049823,336890.0238268258,7,32,0,40518,7384,33134,20,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
