vn_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,vn_id,node_slots,edge_paths,vn_cost,vn_revenue,vn_rc_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,result,description,place_result,route_result,early_rejection
1,1,1,471,619,281122.5158833268,369458.25335834245,6,0,1,40536,7439,33097,0,"{2: 6, 3: 18, 0: 8, 1: 16, 5: 14, 4: 17}","{(0, 1): [8, 16], (0, 2): [8, 6], (0, 3): [8, 18], (0, 4): [8, 6, 17], (1, 2): [16, 8, 6], (1, 3): [16, 61, 18], (2, 4): [6, 17], (2, 5): [6, 14], (3, 5): [18, 6, 14]}",619,471,0.7609046849757674,369458.25335834245,281122.5158833268,454.15592226708696,True,Success,True,True,False
2,2,2,1316,2095,1166869.9223893492,1916633.6048410514,12,1,1,39060,7144,31916,1,"{0: 20, 4: 6, 2: 18, 8: 23, 6: 16, 5: 10, 1: 19, 7: 11, 3: 27}","{(0, 2): [20, 11, 18], (0, 3): [20, 37, 27], (0, 4): [20, 17, 6], (0, 5): [20, 77, 10], (0, 6): [20, 61, 16], (0, 7): [20, 17, 11], (0, 8): [20, 3, 23], (1, 4): [19, 13, 6], (1, 6): [19, 35, 16], (2, 4): [18, 43, 6], (2, 6): [18, 10, 52, 16], (2, 8): [18, 65, 23], (4, 5): [6, 4, 77, 10], (4, 8): [6, 68, 23], (7, 8): [11, 96, 23]}",1476,845,0.5724932249322493,1547175.351482709,885747.4065060224,600.0998689065192,True,Success,True,True,False
3,3,3,1493,2398,1213175.6381045654,1995902.7114043876,14,2,1,38757,7047,31710,2,"{2: 5, 0: 7, 1: 6}","{(0, 2): [7, 88, 68, 5], (1, 2): [6, 97, 5]}",303,177,0.5841584158415841,79269.10656333626,46305.71571521623,152.82414427464104,True,Success,True,True,False
4,4,4,2284,3887,1327575.102813664,2211251.3877025517,18,3,1,37268,6784,30484,3,"{0: 20, 5: 23, 7: 21, 3: 13, 1: 19, 4: 24, 6: 17, 2: 3}","{(0, 1): [20, 99, 19], (0, 3): [20, 37, 60, 13], (0, 4): [20, 47, 24], (0, 6): [20, 51, 11, 17], (0, 7): [20, 21], (1, 3): [19, 73, 13], (1, 5): [19, 18, 85, 23], (2, 5): [3, 23], (3, 5): [13, 65, 23], (3, 7): [13, 29, 31, 21], (4, 5): [24, 47, 23], (4, 6): [24, 79, 36, 17], (5, 7): [23, 10, 34, 21], (6, 7): [17, 11, 57, 21]}",1489,791,0.5312290127602418,215348.67629816386,114399.46470909845,76.82972781000568,True,Success,True,True,False
5,5,5,2681,4721,1476218.9134065511,2523515.715245292,21,4,1,36434,6581,29853,4,"{4: 0, 2: 12, 1: 1, 5: 5, 3: 7, 0: 10}","{(0, 4): [10, 23, 45, 16, 0], (1, 4): [1, 37, 15, 0], (1, 5): [1, 34, 74, 5], (2, 3): [12, 31, 16, 7], (2, 5): [12, 24, 85, 5]}",834,397,0.47601918465227816,312264.32754274027,148643.81059288717,178.2299887204882,True,Success,True,True,False
5,5,4,2681,4721,1476218.9134065511,2523515.715245292,21,5,0,37923,6844,31079,3,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
5,5,3,2681,4721,1476218.9134065511,2523515.715245292,21,6,0,38226,6941,31285,2,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
6,6,4,3690,6518,1559861.4586935993,2672480.6844036924,23,7,1,36429,6633,29796,5,"{6: 20, 8: 26, 7: 23, 5: 6, 1: 25, 4: 21, 2: 13, 3: 19, 0: 5}","{(0, 5): [5, 68, 6], (0, 7): [5, 85, 23], (1, 3): [25, 35, 19], (1, 4): [25, 71, 21], (1, 5): [25, 35, 43, 6], (1, 7): [25, 54, 23], (1, 8): [25, 46, 26], (2, 5): [13, 6], (2, 6): [13, 60, 37, 20], (2, 7): [13, 65, 23], (2, 8): [13, 29, 26], (3, 6): [19, 99, 20], (3, 8): [19, 98, 26], (4, 5): [21, 97, 6], (4, 6): [21, 20], (4, 7): [21, 34, 69, 23], (4, 8): [21, 31, 46, 26], (5, 6): [6, 51, 20], (5, 7): [6, 88, 23], (6, 7): [20, 3, 23], (6, 8): [20, 59, 26]}",1797,1009,0.5614913745130774,148964.96915840014,83642.54528704827,46.545656809709676,True,Success,True,True,False
6,6,4,3690,6518,1559861.4586935993,2672480.6844036924,23,8,0,38226,6941,31285,5,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
7,7,5,3771,6620,1586014.9453744222,2705414.7046684325,23,9,1,38124,6881,31243,6,"{0: 3, 1: 6}","{(0, 1): [3, 95, 6]}",102,81,0.7941176470588235,32934.02026473995,26153.4866808229,256.4067321649304,True,Success,True,True,False
