vn_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,vn_id,node_slots,edge_paths,vn_cost,vn_revenue,vn_rc_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,result,description,place_result,route_result,early_rejection
1,1,1,735,1342,487653.894007247,890383.0282418034,9,0,1,40977,7050,33927,0,"{0: 12, 1: 78, 2: 42, 3: 47, 4: 14, 5: 31, 6: 36, 7: 88, 8: 1}","{(3, 1): [47, 25, 78], (3, 2): [47, 7, 58, 42], (4, 1): [14, 42, 2, 78], (5, 2): [31, 12, 43, 42], (5, 4): [31, 63, 17, 14], (6, 2): [36, 39, 42], (6, 4): [36, 12, 65, 14], (7, 0): [88, 12], (7, 1): [88, 30, 60, 78], (7, 5): [88, 73, 31], (8, 0): [1, 58, 12], (8, 3): [1, 8, 3, 47], (8, 6): [1, 58, 36]}",1342,735,0.5476900149031296,890383.0282418034,487653.894007247,363.3784605121066,True,Success,True,True,False
2,2,2,1575,2956,695987.8339191198,1290681.8127867589,18,1,1,39363,6747,32616,1,"{0: 74, 1: 56, 2: 7, 3: 53, 4: 70, 5: 19, 6: 54, 7: 21, 8: 85}","{(1, 0): [56, 27, 74], (2, 0): [7, 53, 74], (3, 0): [53, 1, 60, 74], (4, 1): [70, 9, 56], (4, 2): [70, 97, 37, 7], (5, 0): [19, 30, 36, 74], (5, 2): [19, 90, 3, 7], (5, 3): [19, 73, 62, 53], (5, 4): [19, 73, 91, 70], (6, 0): [54, 36, 74], (6, 4): [54, 70], (6, 5): [54, 68, 90, 19], (7, 0): [21, 93, 74], (7, 2): [21, 0, 44, 7], (7, 6): [21, 34, 54], (8, 0): [85, 93, 74]}",1614,840,0.5204460966542751,400298.78454495553,208333.93991187276,129.07926884254817,True,Success,True,True,False
3,3,3,2179,4389,853919.1867914314,1665376.5622338161,23,2,1,37930,6541,31389,2,"{0: 4, 1: 92, 2: 15, 3: 78, 4: 45, 5: 82}","{(1, 0): [92, 14, 17, 3, 4], (2, 0): [15, 21, 93, 4], (3, 0): [78, 10, 77, 4], (3, 1): [78, 2, 42, 92], (3, 2): [78, 34, 53, 15], (4, 0): [45, 53, 62, 4], (4, 1): [45, 1, 42, 92], (4, 2): [45, 1, 63, 15], (4, 3): [45, 10, 29, 78], (5, 2): [82, 22, 81, 15]}",1433,604,0.421493370551291,374694.7494470572,157931.35287231163,110.2102950958211,True,Success,True,True,False
4,4,4,2639,5108,1006819.2954458675,1904366.0798915108,29,3,1,37211,6330,30881,3,"{0: 16, 1: 60, 2: 22, 3: 66, 4: 30, 5: 95}","{(1, 0): [60, 11, 16], (2, 0): [22, 84, 16], (2, 1): [22, 50, 60], (3, 2): [66, 2, 22], (4, 1): [30, 60], (5, 1): [95, 69, 60], (5, 3): [95, 21, 36, 66]}",719,460,0.6397774687065368,238989.51765769464,152900.10865443607,212.6566184345425,True,Success,True,True,False
5,5,5,2866,5410,1102323.097809405,2031424.0019786842,33,4,1,36909,6185,30724,4,"{0: 51, 1: 86, 2: 25, 3: 76}","{(1, 0): [86, 26, 51], (2, 0): [25, 78, 60, 51], (3, 1): [76, 86]}",302,227,0.7516556291390728,127057.92208717352,95503.8023635377,316.2377561706547,True,Success,True,True,False
6,5,5,2866,5410,1102323.097809405,2031424.0019786842,33,5,1,36909,6185,30724,5,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
7,6,6,3524,6874,1571085.4342276545,3074384.580270959,36,6,1,35445,5984,29461,6,"{0: 95, 1: 85, 2: 64, 3: 18, 4: 93, 5: 51}","{(1, 0): [85, 0, 64, 95], (2, 1): [64, 86, 85], (3, 0): [18, 12, 64, 95], (3, 2): [18, 22, 67, 64], (4, 0): [93, 17, 21, 95], (4, 1): [93, 17, 46, 85], (4, 2): [93, 82, 64], (4, 3): [93, 12, 96, 18], (5, 1): [51, 46, 85], (5, 2): [51, 39, 30, 64], (5, 3): [51, 60, 81, 18], (5, 4): [51, 39, 32, 93]}",1464,658,0.4494535519125683,1042960.5782922751,468762.33641824935,320.1928527447058,True,Success,True,True,False
8,7,7,4130,7971,1815472.6304802382,3516781.864576379,42,7,1,34348,5752,28596,7,"{0: 3, 1: 27, 2: 80, 3: 66, 4: 52, 5: 20, 6: 40}","{(2, 0): [80, 13, 3], (4, 0): [52, 3], (4, 1): [52, 83, 24, 27], (4, 2): [52, 15, 80], (5, 1): [20, 68, 27], (5, 2): [20, 80], (5, 3): [20, 33, 7, 66], (5, 4): [20, 48, 3, 52], (6, 1): [40, 18, 81, 27], (6, 2): [40, 58, 80], (6, 3): [40, 58, 1, 66]}",1097,606,0.5524156791248861,442397.28430541995,244387.19625258388,222.77775410445204,True,Success,True,True,False
9,8,8,4651,8872,1925005.1997215855,3706203.8317288817,49,8,1,33447,5473,27974,8,"{0: 55, 1: 67, 2: 94, 3: 69, 4: 8, 5: 84, 6: 9}","{(3, 2): [69, 23, 94], (4, 1): [8, 73, 67], (5, 0): [84, 11, 46, 55], (5, 3): [84, 11, 69], (5, 4): [84, 57, 8], (6, 2): [9, 24, 94], (6, 3): [9, 31, 74, 81, 69]}",901,521,0.5782463928967814,189421.96715250277,109532.56924134733,121.56777940216129,True,Success,True,True,False
10,9,9,4839,9156,1936564.90398395,3723666.3636996876,51,9,1,33163,5349,27814,9,"{0: 48, 1: 4, 2: 6}","{(1, 0): [4, 3, 48], (2, 0): [6, 61, 20, 48]}",284,188,0.6619718309859155,17462.531970805932,11559.70426236449,40.70318402241018,True,Success,True,True,False
11,9,9,4839,9156,1936564.90398395,3723666.3636996876,51,10,1,33163,5349,27814,10,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
12,10,10,5037,9452,2153228.208437688,4047567.061266892,53,11,1,32867,5213,27654,11,"{0: 88, 1: 29, 2: 39}","{(2, 0): [39, 17, 88], (2, 1): [39, 73, 5, 29]}",296,198,0.668918918918919,323900.69756720436,216663.30445373806,731.9706231545206,True,Success,True,True,False
12,10,9,5037,9452,2153228.208437688,4047567.061266892,53,12,0,33151,5337,27814,9,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
13,11,10,5329,10076,2330636.2314625764,4426685.576224187,56,13,1,32527,5210,27317,12,"{0: 24, 1: 81, 2: 92, 3: 98}","{(1, 0): [81, 22, 24], (2, 0): [92, 15, 23, 94, 24], (3, 0): [98, 2, 22, 24], (3, 1): [98, 2, 44, 81], (3, 2): [98, 65, 14, 92]}",624,292,0.46794871794871795,379118.5149572952,177408.02302488813,284.3077292065515,True,Success,True,True,False
14,12,11,5956,11432,3109329.1289228234,6110748.684607114,59,14,1,31171,4960,26211,13,"{0: 34, 1: 35, 2: 95, 3: 98, 4: 39, 5: 82, 6: 38}","{(1, 0): [35, 34], (4, 0): [39, 32, 54, 34], (4, 2): [39, 42, 95], (4, 3): [39, 15, 37, 98], (5, 0): [82, 26, 55, 34], (5, 1): [82, 41, 21, 34, 35], (5, 3): [82, 49, 60, 98], (6, 1): [38, 11, 46, 10, 29, 35], (6, 2): [38, 11, 69, 95], (6, 3): [38, 11, 60, 98], (6, 4): [38, 23, 39], (6, 5): [38, 40, 49, 82]}",1356,627,0.46238938053097345,1684063.1083829263,778692.8974602469,574.2572990119814,True,Success,True,True,False
14,12,10,5956,11432,3109329.1289228234,6110748.684607114,59,15,0,32785,5263,27522,1,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
14,12,9,5956,11432,3109329.1289228234,6110748.684607114,59,16,0,33686,5542,28144,8,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
14,12,8,5956,11432,3109329.1289228234,6110748.684607114,59,17,0,35119,5748,29371,2,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
15,12,8,5956,11432,3109329.1289228234,6110748.684607114,59,18,1,35119,5748,29371,14,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
15,12,7,5956,11432,3109329.1289228234,6110748.684607114,59,19,0,35838,5959,29879,3,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
16,13,8,6154,11774,3148157.1971083744,6177815.347836701,61,20,1,35496,5831,29665,15,"{0: 79, 1: 40, 2: 72}","{(2, 0): [72, 46, 10, 29, 79], (2, 1): [72, 11, 40]}",342,198,0.5789473684210527,67066.66322958787,38828.06818555087,113.53236311564582,True,Success,True,True,False
17,14,9,6634,12621,3389068.415174083,6602923.268048482,62,21,1,34649,5614,29035,16,"{0: 64, 1: 22, 2: 0, 3: 69, 4: 74, 5: 56}","{(2, 1): [0, 67, 22], (3, 0): [69, 11, 16, 64], (4, 2): [74, 27, 76, 0], (4, 3): [74, 60, 69], (5, 0): [56, 28, 67, 64], (5, 1): [56, 75, 22], (5, 3): [56, 23, 69], (5, 4): [56, 27, 74]}",847,480,0.5667060212514758,425107.92021178117,240911.21806570832,284.42882888513384,True,Success,True,True,False
17,14,8,6634,12621,3389068.415174083,6602923.268048482,62,22,0,34951,5759,29192,4,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
17,14,7,6634,12621,3389068.415174083,6602923.268048482,62,23,0,36048,5991,30057,7,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
18,15,8,7598,14636,3599451.3113658368,7042675.898573777,67,24,1,34033,5660,28373,17,"{0: 8, 1: 23, 2: 78, 3: 2, 4: 59, 5: 77, 6: 52, 7: 62, 8: 51}","{(1, 0): [23, 88, 8], (2, 0): [78, 5, 73, 8], (3, 1): [2, 42, 14, 23], (3, 2): [2, 78], (4, 2): [59, 29, 78], (4, 3): [59, 19, 73, 2], (5, 0): [77, 4, 8], (5, 3): [77, 2], (6, 0): [52, 3, 4, 8], (6, 2): [52, 43, 60, 78], (7, 0): [62, 88, 8], (7, 2): [62, 53, 34, 78], (7, 4): [62, 30, 19, 59], (7, 5): [62, 4, 77], (8, 0): [51, 23, 88, 8], (8, 4): [51, 94, 88, 87, 59], (8, 5): [51, 23, 15, 84, 77], (8, 7): [51, 60, 69, 62]}",2015,964,0.4784119106699752,439752.63052529463,210382.89619175388,104.40838520682574,True,Success,True,True,False
19,16,9,7816,15113,3670166.9559687003,7197406.919103895,69,25,1,33556,5550,28006,18,"{0: 92, 1: 33, 2: 90}","{(1, 0): [33, 24, 1, 42, 92], (2, 0): [90, 26, 64, 92], (2, 1): [90, 1, 63, 33]}",477,218,0.4570230607966457,154731.0205301187,70715.64460286347,148.25082725967184,True,Success,True,True,False
20,17,10,8311,16154,3815313.950904344,7502655.44784734,69,26,1,32515,5357,27158,19,"{0: 56, 1: 31, 2: 9, 3: 79, 4: 7, 5: 66}","{(2, 1): [9, 31], (3, 0): [79, 53, 7, 33, 56], (3, 2): [79, 25, 34, 54, 9], (4, 1): [7, 3, 90, 68, 31], (5, 0): [66, 2, 22, 76, 56], (5, 2): [66, 36, 54, 9], (5, 3): [66, 90, 79], (5, 4): [66, 7]}",1041,495,0.4755043227665706,305248.52874344494,145146.99493564386,139.43035056257816,True,Success,True,True,False
21,18,11,8537,16588,3838243.2458763244,7546687.810758133,71,27,1,32081,5235,26846,20,"{0: 24, 1: 11, 2: 8, 3: 13}","{(2, 1): [8, 1, 60, 11], (3, 0): [13, 3, 94, 24], (3, 2): [13, 44, 99, 8]}",434,226,0.5207373271889401,44032.36291079347,22929.29497198001,52.83247689396315,True,Success,True,True,False
22,19,12,8860,17264,3944121.228582537,7768277.644533364,72,28,1,31405,5093,26312,21,"{0: 81, 1: 85, 2: 58, 3: 86, 4: 47}","{(3, 1): [86, 68, 85], (3, 2): [86, 22, 58], (4, 0): [47, 7, 44, 81], (4, 1): [47, 7, 44, 0, 85], (4, 2): [47, 37, 18, 17, 58]}",676,323,0.47781065088757396,221589.8337752311,105877.98270621248,156.62423477250368,True,Success,True,True,False
22,19,12,8860,17264,3944121.228582537,7768277.644533364,72,29,0,31405,5093,26312,5,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
