vn_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,vn_id,node_slots,edge_paths,vn_cost,vn_revenue,vn_rc_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,result,description,place_result,route_result,early_rejection
1,1,1,809,1625,744038.9624523862,1494515.8392894035,8,0,1,44067,7376,36691,0,"{4: 11, 2: 19, 1: 27, 6: 99, 0: 52, 3: 72, 5: 29, 7: 82}","{(0, 2): [52, 47, 19], (0, 5): [52, 88, 29], (0, 6): [52, 7, 9, 99], (0, 7): [52, 79, 82], (1, 4): [27, 6, 11], (1, 5): [27, 78, 45, 29], (2, 6): [19, 79, 60, 99], (2, 7): [19, 68, 15, 82], (3, 6): [72, 11, 6, 99], (3, 7): [72, 40, 0, 82], (4, 5): [11, 25, 29], (5, 7): [29, 14, 34, 99, 82], (6, 7): [99, 27, 82]}",1625,809,0.4978461538461538,1494515.8392894035,744038.9624523862,457.8701307399299,True,Success,True,True,False
2,2,2,871,1727,747929.6740770784,1500916.6874461551,10,1,1,43965,7334,36631,1,"{0: 8, 1: 96}","{(0, 1): [8, 32, 25, 96]}",102,62,0.6078431372549019,6400.848156751624,3890.7116246921637,38.14423161462905,True,Success,True,True,False
3,3,3,1295,2403,892869.5684282663,1732000.1039117284,15,2,1,43289,7132,36157,2,"{3: 48, 2: 83, 5: 7, 4: 18, 1: 45, 0: 27}","{(0, 2): [27, 47, 83], (0, 3): [27, 43, 48], (0, 4): [27, 63, 18], (1, 5): [45, 10, 7], (2, 3): [83, 35, 12, 48], (2, 5): [83, 36, 7], (3, 4): [48, 54, 18]}",676,424,0.6272189349112426,231083.41646557325,144939.89435118795,214.4081277384437,True,Success,True,True,False
3,3,2,1295,2403,892869.5684282663,1732000.1039117284,15,3,0,43391,7174,36217,1,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
4,4,3,1509,2648,1069837.3321421943,1934603.3847991691,18,4,1,43146,7039,36107,3,"{1: 13, 2: 84, 0: 12}","{(0, 1): [12, 28, 13], (1, 2): [13, 84]}",245,214,0.8734693877551021,202603.2808874408,176967.76371392788,722.3174029139914,True,Success,True,True,False
5,5,4,2300,4274,1283921.291861645,2374679.8936535646,24,5,1,41520,6759,34761,4,"{5: 9, 3: 13, 0: 48, 4: 59, 6: 85, 7: 10, 1: 30, 2: 55}","{(0, 2): [48, 23, 93, 55], (0, 3): [48, 23, 13], (0, 4): [48, 59], (0, 6): [48, 61, 69, 85], (1, 4): [30, 4, 47, 59], (1, 6): [30, 94, 53, 85], (1, 7): [30, 32, 7, 10], (2, 5): [55, 3, 9], (2, 6): [55, 3, 2, 53, 85], (3, 6): [13, 75, 45, 85], (3, 7): [13, 84, 10], (4, 5): [59, 43, 9], (4, 6): [59, 84, 0, 85], (5, 7): [9, 2, 66, 10], (6, 7): [85, 6, 60, 10]}",1626,791,0.486469864698647,440076.50885439536,214083.95971945062,131.6629518569807,True,Success,True,True,False
6,6,5,2518,4652,1645086.1273883397,3000919.8378237053,27,6,1,41142,6631,34511,5,"{0: 68, 2: 17, 3: 14, 1: 18}","{(0, 2): [68, 30, 17], (1, 2): [18, 51, 69, 17], (1, 3): [18, 46, 36, 14]}",378,218,0.5767195767195767,626239.9441701405,361164.8355266948,955.462527848399,True,Success,True,True,False
7,7,6,3267,6122,1723765.8658475538,3155338.016108144,34,7,1,39672,6340,33332,6,"{3: 77, 2: 80, 6: 60, 7: 4, 1: 20, 4: 39, 5: 32, 0: 30}","{(0, 2): [30, 17, 38, 34, 80], (0, 3): [30, 32, 88, 77], (0, 6): [30, 94, 31, 60], (1, 2): [20, 49, 80], (1, 3): [20, 49, 38, 77], (1, 5): [20, 67, 44, 32], (1, 6): [20, 31, 60], (3, 4): [77, 74, 39], (3, 5): [77, 88, 32], (3, 7): [77, 38, 4], (4, 5): [39, 35, 32], (6, 7): [60, 6, 4]}",1470,749,0.5095238095238095,154418.17828443888,78679.7384592141,53.52363160490755,True,Success,True,True,False
8,8,7,3504,6428,1781608.8974164957,3230021.4239566512,37,8,1,39366,6217,33149,7,"{2: 34, 1: 15, 0: 61}","{(0, 1): [61, 34, 15], (0, 2): [61, 36, 34], (1, 2): [15, 34]}",306,237,0.7745098039215687,74683.40784850715,57843.03156894182,189.0295149311824,True,Success,True,True,False
9,9,8,3612,6594,1796750.2339102868,3253294.2189378487,39,9,1,39200,6138,33062,8,"{0: 97, 1: 58}","{(0, 1): [97, 7, 43, 58]}",166,108,0.6506024096385542,23272.79498119748,15141.33649379113,91.21287044452488,True,Success,True,True,False
10,10,9,4271,7881,1958419.6513598165,3569027.9674318465,44,10,1,37913,5892,32021,9,"{4: 58, 0: 59, 3: 98, 1: 90, 5: 91, 2: 26, 6: 65}","{(0, 3): [59, 73, 98], (0, 4): [59, 43, 58], (0, 5): [59, 22, 11, 91], (0, 6): [59, 70, 65], (1, 3): [90, 24, 98], (1, 5): [90, 33, 21, 91], (1, 6): [90, 87, 65], (2, 4): [26, 24, 76, 1, 58], (2, 5): [26, 91], (4, 5): [58, 1, 14, 91], (4, 6): [58, 2, 9, 65], (5, 6): [91, 56, 65]}",1287,659,0.5120435120435121,315733.748493998,161669.4174495297,125.61726297554755,True,Success,True,True,False
10,10,8,4271,7881,1958419.6513598165,3569027.9674318465,44,11,0,39383,6183,33200,6,{},{},0,0,0.0,0.0,0.0,0.0,False,Leave Event,True,True,False
11,11,9,5297,9926,2554187.9264249564,4756499.821728349,49,12,1,37338,5877,31461,10,"{6: 36, 8: 96, 1: 32, 5: 16, 3: 46, 2: 23, 4: 29, 7: 70, 0: 90}","{(0, 1): [90, 35, 32], (0, 2): [90, 88, 23], (0, 4): [90, 88, 29], (0, 5): [90, 44, 50, 16], (0, 6): [90, 67, 36], (1, 4): [32, 25, 29], (1, 5): [32, 88, 16], (1, 6): [32, 7, 36], (1, 8): [32, 25, 96], (2, 4): [23, 28, 15, 29], (2, 5): [23, 9, 36, 16], (2, 6): [23, 38, 14, 36], (2, 7): [23, 28, 56, 70], (2, 8): [23, 93, 96], (3, 4): [46, 7, 15, 29], (3, 5): [46, 36, 16], (3, 6): [46, 7, 65, 36], (3, 8): [46, 35, 39, 96], (4, 8): [29, 15, 55, 96], (6, 7): [36, 65, 70], (6, 8): [36, 96], (7, 8): [70, 17, 25, 96]}",2045,1026,0.5017114914425428,1187471.8542965017,595768.2750651398,291.329229860704,True,Success,True,True,False
12,12,10,5700,10623,2735328.3135881443,5069787.290345575,53,13,1,36641,5671,30970,11,"{4: 34, 3: 6, 1: 96, 2: 78, 5: 64, 0: 56}","{(0, 2): [56, 2, 78], (0, 3): [56, 2, 37, 6], (0, 5): [56, 2, 44, 64], (1, 4): [96, 36, 45, 34], (2, 4): [78, 7, 34], (2, 5): [78, 35, 64]}",697,403,0.5781922525107605,313287.46861722576,181140.38716318793,259.8857778524935,True,Success,True,True,False
13,13,11,6535,12361,2776687.1782356,5155873.166701595,57,14,1,34903,5376,29527,12,"{8: 39, 1: 76, 3: 60, 6: 28, 4: 41, 5: 64, 2: 67, 7: 9, 0: 80}","{(0, 1): [80, 43, 76], (0, 4): [80, 6, 92, 41], (0, 5): [80, 34, 7, 64], (1, 5): [76, 2, 3, 64], (1, 7): [76, 24, 11, 9], (1, 8): [76, 1, 15, 39], (2, 4): [67, 6, 92, 41], (2, 6): [67, 3, 9, 28], (2, 7): [67, 3, 95, 9], (3, 4): [60, 79, 7, 41], (3, 5): [60, 6, 37, 64], (3, 7): [60, 69, 9], (3, 8): [60, 95, 73, 39], (4, 7): [41, 7, 9], (4, 8): [41, 15, 39], (5, 7): [64, 11, 9]}",1738,835,0.48043728423475257,86085.876356021,41358.86464745543,23.79681510210324,True,Success,True,True,False
14,13,11,6535,12361,2776687.1782356,5155873.166701595,57,15,1,34903,5376,29527,13,{},{},0,0,0.0,0.0,0.0,0.0,False,Route Failure,True,False,False
