vn_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,vn_id,node_slots,edge_paths,vn_cost,vn_revenue,vn_rc_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,result,description,place_result,route_result,early_rejection
1,1,1,331,423,89972.53816981173,114980.01101459323,4,0,1,44499,7270,37229,0,"{2: 92, 3: 15, 1: 16, 0: 38}","{(3, 2): [15, 92], (1, 2): [16, 92], (1, 3): [16, 20, 15], (0, 1): [38, 77, 16], (0, 2): [38, 92], (0, 3): [38, 3, 15]}",423,331,0.7825059101654847,114980.01101459323,89972.53816981173,212.70103586243906,True,Success,True,True,False
2,2,2,493,585,146824.13419388898,171831.60703867048,6,1,1,44337,7178,37159,1,"{1: 38, 2: 19, 0: 22}","{(2, 1): [19, 38], (0, 1): [22, 38]}",162,162,1.0,56851.596024077255,56851.596024077255,350.9357779264028,True,Success,True,False,False
3,3,3,1059,1368,579647.3567851163,770595.888467877,13,2,1,43554,6926,36628,2,"{0: 2, 4: 4, 5: 5, 2: 7, 6: 23, 3: 26, 1: 42}","{(5, 4): [5, 2, 4], (2, 0): [7, 2], (2, 5): [7, 10, 5], (6, 0): [23, 2], (6, 5): [23, 2, 5], (1, 0): [42, 2], (1, 3): [42, 8, 26], (1, 4): [42, 2, 4], (1, 6): [42, 40, 23]}",783,566,0.722860791826309,598764.2814292066,432823.22259122727,552.7755077793452,True,Success,True,True,False
4,4,4,1213,1522,693333.8773807533,884282.4090635141,15,3,1,43400,6842,36558,3,"{1: 51, 0: 2, 2: 12}","{(0, 1): [2, 51], (2, 1): [12, 51]}",154,154,1.0,113686.520595637,113686.520595637,738.2241597119286,True,Success,True,True,False
5,5,5,2285,3225,1319651.2537317914,1879262.3455614783,23,4,1,41697,6500,35197,4,"{2: 50, 5: 0, 3: 18, 8: 21, 6: 78, 7: 92, 0: 1, 1: 29, 4: 67}","{(3, 2): [18, 50], (8, 2): [21, 50], (8, 3): [21, 61, 18], (6, 2): [78, 50], (6, 3): [78, 50, 18], (6, 5): [78, 29, 0], (7, 2): [92, 50], (7, 8): [92, 57, 21], (0, 2): [1, 0, 50], (0, 3): [1, 9, 41, 18], (0, 6): [1, 6, 78], (0, 7): [1, 16, 92], (1, 0): [29, 0, 1], (1, 2): [29, 69, 50], (1, 5): [29, 0], (1, 7): [29, 94, 92], (4, 3): [67, 8, 42, 18], (4, 5): [67, 0], (4, 6): [67, 35, 78], (4, 8): [67, 48, 33, 21]}",1703,1072,0.6294773928361714,994979.9364979642,626317.376351038,367.77297495656956,True,Success,True,False,False
6,6,6,2466,3406,1348044.6742728418,1907655.7661025287,26,5,1,41516,6389,35127,5,"{1: 84, 0: 9, 2: 20}","{(0, 1): [9, 84], (2, 1): [20, 84]}",181,181,1.0,28393.420541050386,28393.420541050386,156.86972674613472,True,Success,False,True,False
7,7,7,3124,4467,1605482.3575220504,2322764.249274885,30,6,1,40455,6164,34291,6,"{3: 4, 5: 2, 6: 30, 1: 36, 2: 93, 4: 76, 0: 0}","{(5, 3): [2, 4], (6, 5): [30, 26, 2], (1, 6): [36, 4, 30], (2, 3): [93, 4], (2, 5): [93, 51, 2], (2, 6): [93, 7, 30], (4, 1): [76, 1, 36], (4, 5): [76, 2], (4, 6): [76, 30], (0, 1): [0, 1, 36], (0, 2): [0, 94, 22, 93], (0, 5): [0, 53, 76, 2]}",1061,658,0.6201696512723845,415108.4831723561,257437.68324920858,242.6368362386509,True,Success,False,False,False
8,8,8,3659,5091,1653179.8489850461,2378396.463616771,35,7,1,39831,5959,33872,7,"{0: 42, 1: 10, 3: 32, 2: 47, 5: 48, 4: 68}","{(1, 0): [10, 42], (3, 0): [32, 42], (3, 1): [32, 80, 10], (2, 0): [47, 42], (2, 1): [47, 10], (2, 3): [47, 30, 32], (5, 1): [48, 14, 10], (4, 1): [68, 10], (4, 2): [68, 47], (4, 5): [68, 48]}",624,535,0.8573717948717948,55632.214341886545,47697.49146299568,76.4382876009546,True,Success,False,False,False
9,9,9,4446,6185,2571503.200125972,3654947.602305682,40,8,1,38737,5653,33084,8,"{5: 56, 1: 3, 2: 17, 0: 19, 7: 23, 4: 47, 6: 74, 3: 95}","{(1, 5): [3, 56], (2, 1): [17, 45, 3], (0, 2): [19, 10, 17], (7, 0): [23, 13, 19], (7, 2): [23, 13, 17], (7, 5): [23, 56], (4, 1): [47, 3], (6, 0): [74, 48, 19], (6, 1): [74, 45, 3], (6, 5): [74, 56], (3, 0): [95, 22, 19], (3, 1): [95, 22, 3], (3, 2): [95, 17], (3, 6): [95, 45, 74], (3, 7): [95, 64, 23]}",1094,787,0.7193784277879341,1276551.1386889108,918323.3511409258,839.4180540593471,True,Success,False,True,False
10,10,10,5052,6884,2588804.93036889,3674904.5485759783,44,9,1,38038,5377,32661,9,"{2: 16, 5: 20, 1: 23, 6: 25, 0: 41, 4: 54, 3: 58}","{(1, 2): [23, 16], (6, 2): [25, 16], (0, 1): [41, 16, 23], (0, 2): [41, 16], (4, 1): [54, 23], (4, 2): [54, 16], (4, 5): [54, 20], (3, 1): [58, 39, 23], (3, 2): [58, 16], (3, 4): [58, 16, 54], (3, 6): [58, 25]}",699,606,0.8669527896995708,19956.946270296565,17301.730242918053,24.75211765796574,True,Success,False,False,False
